연번,시군구,중개업소 구분,중개업자명,중개업소명,사무소주소,위도,경도,데이터기준일자
41, 강서구,공인중개사,김미영,소나무공인중개사사무소,부산광역시 강서구 명지국제2로 29 120호(명지동),35.09415059,128.9067871,2023-01-30
42, 강서구,공인중개사,서경호,경호부동산중개,부산광역시 강서구 가덕해안로 1178-2 (대항동),35.0129303,128.8303751,2023-01-30
43, 강서구,공인중개사,차재승,제나우스조은공인중개사사무소,부산광역시 강서구 명지국제2로 16 101동 104호,35.09218119,128.9085639,2023-01-30
44, 강서구,공인중개사,김윤환,부자공인중개사사무소,부산광역시 강서구 대저중앙로 6 (대저1동),35.21440029,128.949961,2023-01-30
46, 강서구,공인중개사,허성근,천하부동산중개사무소,부산광역시 강서구 명지국제7로 37 상가1층 107호,35.09754964,128.9054867,2023-01-30
47, 강서구,공인중개사,박동선,신네오공인중개사사무소,부산광역시 강서구 가락대로 1437-1 ,35.19279162,128.9031948,2023-01-30
48, 강서구,공인중개사,남동구,동인공인중개사사무소,부산광역시 강서구 낙동남로582번가길 4 (녹산동),35.11179904,128.8838036,2023-01-30
49, 강서구,공인중개사,오빈,에코탑공인중개사사무소,부산광역시 강서구 제도로 994 1층(강동동),35.2000905,128.9273366,2023-01-30
50, 강서구,공인중개사,성유근,더샵공인중개사사무소,"부산광역시 강서구 명지국제2로 41 151호 (명지동,더샵명지퍼스트월드 3단지)",35.09466534,128.9066612,2023-01-30
51, 강서구,공인중개사,이정아,국제카카오공인중개사사무소,부산광역시 강서구 명지국제8로 246 114호(명지동),35.0977406,128.9196155,2023-01-30
52, 강서구,공인중개사,서순정,서강공인중개사사무소,부산광역시 강서구 맥도길453번길 55 (대저2동),35.14215086,128.9375311,2023-01-30
53, 강서구,공인중개사,김윤수,뉴복성공인중개사사무소,부산광역시 강서구 대저로 297 2층(대저1동),35.21149428,128.9842055,2023-01-30
54, 강서구,공인중개사,강민성,강민성공인중개사사무소,부산광역시 강서구 에코델타스마트로4길 15 1층(명지동),35.13093959,128.9136691,2023-01-30
55, 강서구,공인중개사,박헌식,서부산공인중개사사무소,부산광역시 강서구 녹산산단335로 24-8 220호(송정동),35.09047249,128.8547956,2023-01-30
56, 강서구,공인중개사,최언교,금빛공인중개사사무소,부산광역시 강서구 가락대로1449번길 7 102호(죽림동),35.19359471,128.9030829,2023-01-30
57, 강서구,공인중개사,신상대,뉴삼정부동산공인중개사사무소,부산광역시 강서구 대저로 228 (대저1동),35.21435946,128.977694,2023-01-30
58, 강서구,공인중개사,윤남혁,제일조아요공인중개사사무소,부산광역시 강서구 제도로 862 (강동동),35.18906374,128.9217869,2023-01-30
59, 강서구,공인중개사,정지유,리더스공인중개사사무소,부산광역시 강서구 명지국제8로 259 106호(명지동),35.0982603,128.9212118,2023-01-30
60, 강서구,공인중개사,하영호,열정부동산중개,부산광역시 강서구 생곡로 22-31 (녹산동),35.12393209,128.8972762,2023-01-30
61, 강서구,공인중개사,김태영,토성공인중개사사무소,부산광역시 강서구 신호산단2로 33 109호(신호동),35.08594523,128.8777668,2023-01-30
62, 강서구,공인중개사,정종원,늘푸른공인중개사사무소,"부산광역시 강서구 명지국제5로 141 302동 202호(명지동, 명지 협성휴포레)",35.10752754,128.9211187,2023-01-30
63, 강서구,공인중개사,정상우,포스코공인중개사사무소,부산광역시 강서구 명지국제2로28번길 8 105호(명지동),35.09337368,128.9082152,2023-01-30
64, 강서구,공인중개사,제미숙,OK114부동산공인중개사사무소,"부산광역시 강서구 명지국제7로 37 판매시설 제지1층 제109호(명지동, 더샵 명지퍼스트 월드2단지)",35.09754964,128.9054867,2023-01-30
65, 강서구,공인중개사,노관효,더샵월드부동산공인중개사사무소,"부산광역시 강서구 명지국제2로 41 판매시설 제지1층 제125호(명지동, 더샵 명지퍼스트월드 3단지)",35.09466534,128.9066612,2023-01-30
66, 강서구,공인중개사,강택돈,비케이부동산공인중개사사무소,부산광역시 강서구 에코델타스마트로4길 8 103호(명지동),35.13023093,128.9132113,2023-01-30
67, 강서구,공인중개사,이미선,참조은공인중개사사무소,부산광역시 강서구 공항로1281번길 43-5 201호(대저1동),35.21124261,128.9852239,2023-01-30
68, 강서구,공인중개사,최수윤,광개토1부동산중개사무소,"부산광역시 강서구 명지국제2로 80 1동 29호(명지동, e편한세상명지)",35.09869961,128.908406,2023-01-30
69, 강서구,공인중개사,최혜경,블루오션공인중개사사무소,"부산광역시 강서구 명지오션시티6로 33 C2블럭상가 104호(명지동, 엘크루 블루오션)",35.0840701,128.9083422,2023-01-30
70, 강서구,공인중개사,김재란,우리공인중개사사무소,부산광역시 강서구 공항로 1435-1 (대저1동),35.22546425,128.9921189,2023-01-30
71, 강서구,법인,이수영,주식회사피엔씨부동산중개법인,부산광역시 강서구 유통단지1로57번길 9 205호(대저2동),35.16672921,128.9551904,2023-01-30
72, 강서구,공인중개사,제종순,강서OK부동산공인중개사사무소,"부산광역시 강서구 명지국제7로 37 109호(명지동, 더샵 명지퍼스트월드 2단지)",35.09754964,128.9054867,2023-01-30
73, 강서구,공인중개사,김세광,가덕대항명공인중개사사무소,부산광역시 강서구 가덕해안로 1204 1층 102호(대항동),35.01228527,128.828473,2023-01-30
74, 강서구,공인중개사,허성엽,성심공인중개사사무소,부산광역시 강서구 명지오션시티4로 81 503호(명지동),35.0816961,128.9039624,2023-01-30
75, 강서구,공인중개사,오재진,창공공인중개사사무소,부산광역시 강서구 대저로 259 1층(대저1동),35.21366642,128.9809038,2023-01-30
76, 강서구,공인중개사,윤정숙,명지더샵윤공인중개사사무소,"부산광역시 강서구 명지국제7로 37 판매시설 1층 202호(명지동, 더샵 명지퍼스트월드 2단지)",35.09754964,128.9054867,2023-01-30
77, 강서구,공인중개사,임춘택,태양공인중개사사무소,부산광역시 강서구 제도로 840 B동 1층(강동동),35.18716789,128.9209859,2023-01-30
78, 강서구,공인중개사,신화숙,신화공인중개사사무소,"부산광역시 강서구 명지국제5로 141 303동 301호(명지동, 명지 협성휴포레)",35.10752754,128.9211187,2023-01-30
79, 강서구,공인중개사,김민교,위너경매컨설팅공인중개사사무소,"부산광역시 강서구 명지국제2로 80 3층 28호(명지동, e편한세상 명지)",35.09876263,128.9084177,2023-01-30
80, 강서구,공인중개사,김광덕,제일원공인중개사사무소,부산광역시 강서구 제도로 862 (강동동),35.18906374,128.9217869,2023-01-30
81, 강서구,공인중개사,전준의,제일공인중개사사무소,부산광역시 강서구 제도로 862 (강동동),35.18906374,128.9217869,2023-01-30
82, 강서구,공인중개사,김희영,더웨스턴명지공인중개사사무소,"부산광역시 강서구 명지국제7로 111 제상가동 106호(명지동, 명지더웨스턴)",35.09666465,128.9129021,2023-01-30
85, 강서구,공인중개사,주현서,더웨스턴공인중개사사무소,부산광역시 강서구 명지국제7로 111 엘에이치오션타운 제상가동 1층 106호,35.09666465,128.9129021,2023-01-30
86, 강서구,공인중개사,전선영,으뜸부동산공인중개사사무소,"부산광역시 강서구 명지국제7로 140 상가3동 101-1호(명지동, 더 힐 시그니처)",35.09578955,128.9165775,2023-01-30
87, 강서구,공인중개사,김보연,명지중흥공인중개사사무소,"부산광역시 강서구 명지국제5로 90 231동 108호(명지동, 중흥S-클래스 에듀오션)",35.10127377,128.9208508,2023-01-30
88, 강서구,공인중개사,김태현,사랑공인중개사사무소,"부산광역시 강서구 명지오션시티11로 22 119동 108호(명지동, 명지 두산위브 포세이돈)",35.08392102,128.8969029,2023-01-30
89, 강서구,공인중개사,권환섭,에코국제공인중개사사무소,부산광역시 강서구 범방3로60번길 5 (범방동),35.14855926,128.8812493,2023-01-30
90, 강서구,공인중개사,조영재,친구공인중개사사무소,부산광역시 강서구 범방3로60번길 5 (범방동),35.14855926,128.8812493,2023-01-30
91, 강서구,공인중개사,오선희,강서대표부동산공인중개사사무소,부산광역시 강서구 대저로 260 (대저1동),35.21330608,128.9808775,2023-01-30
92, 강서구,공인중개사,김민정,금손공인중개사사무소,부산광역시 강서구 제도로 776 1층(강동동),35.18157635,128.9189903,2023-01-30
93, 강서구,공인중개사,최승훈,new신신부동산공인중개사사무소,"부산광역시 강서구 명지국제7로 37 상가 148호(명지동, 더샵 명지퍼스트월드 2단지)",35.09754964,128.9054867,2023-01-30
94, 강서구,공인중개사,김영이,금호공인중개사사무소,부산광역시 강서구 공항로 1303 (대저1동),35.21420441,128.9878958,2023-01-30
95, 강서구,공인중개사,이은정,원탑공인중개사사무소,부산광역시 강서구 명지국제8로 254 3층 303호(명지동),35.09763437,128.9205466,2023-01-30
99, 강서구,공인중개사,유민철,온부동산공인중개사사무소,부산광역시 강서구 명지국제2로 41 더샵명지퍼스트월드3단지 판매시설 1층 113호,35.09466534,128.9066612,2023-01-30
101, 강서구,공인중개사,안정순,시원공인중개사사무소,부산광역시 강서구 범방3로72번길 22 102호,35.14915649,128.8834068,2023-01-30
102, 강서구,공인중개사,손동원,델타부동산공인중개사사무소,부산광역시 강서구 명지국제1로 56-2 제이티프라자 108호(명지동),35.09358046,128.9058815,2023-01-30
103, 강서구,공인중개사,변미정,송정삼정그린코아더시티부동산공인중개사사무소,"부산광역시 강서구 녹산산단335로 7 상가105호 (송정동, 송정삼정그린코아더시티)",35.08942858,128.8532713,2023-01-30
104, 강서구,공인중개사,정은경,119공인중개사사무소,"부산광역시 강서구 명지오션시티10로 114 상가115동 B105호(명지동, 명지오션시티삼정그린코아)",35.08634165,128.9083455,2023-01-30
105, 강서구,공인중개사,김준모,탑공인중개사사무소,부산광역시 강서구 과학산단로306번길 11-1 유동빌 1층 동쪽상가(지사동),35.15008899,128.8359061,2023-01-30
106, 강서구,공인중개사,박정우,정우세무사공인중개사사무소,부산광역시 강서구 명지국제1로 56-2 제이티프라자 407호(명지동),35.09358046,128.9058815,2023-01-30
107, 강서구,공인중개사,김승민,theKB공인중개사사무소,"부산광역시 강서구 명지국제7로 37 상가 108호 (명지동, 더샵 명지퍼스트월드 2단지)",35.09754964,128.9054867,2023-01-30
108, 강서구,공인중개사,윤희정,진솔공인중개사사무소,"부산광역시 강서구 명지오션시티11로 84 롯데캐슬상가 A동 102호 (명지동, 명지롯데캐슬)",35.08398608,128.9051172,2023-01-30
109, 강서구,공인중개사,심소미,오늘의공인중개사사무소,부산광역시 강서구 명지국제2로28번길 26 퍼스트삼융 111호(명지동),35.09331194,128.9092345,2023-01-30
110, 강서구,공인중개사,최봉출,청마루공인중개사사무소,부산광역시 강서구 범방3로64번길 28 (범방동),35.14840645,128.8836621,2023-01-30
111, 강서구,공인중개사,손혜진,신등구공인중개사사무소,부산광역시 강서구 대저로221번길 56-7 (대저1동),35.21718875,128.9778268,2023-01-30
112, 강서구,공인중개사,이미정,에이치(H)공인중개사사무소,부산광역시 강서구 명지국제12로11번길 20 1층102호 스타빌(명지동),35.106497,128.9226867,2023-01-30
113, 강서구,공인중개사,조영석,비전(051-202-3334)공인중개사사무소,"부산광역시 강서구 명지국제7로 37 상가144호(명지동,더샵명지퍼스트월드 2단지)",35.09754964,128.9054867,2023-01-30
114, 강서구,공인중개사,이상민,토지부동산중개,부산광역시 강서구 대저중앙로 294 (대저1동),35.22055762,128.9792294,2023-01-30
115, 강서구,공인중개사,윤현정,롯데부동산중개사무소,"부산광역시 강서구 명지오션시티11로 84 상가a동101호(명지동,명지롯데캐슬)",35.08398608,128.9051172,2023-01-30
116, 강서구,공인중개사,김인선,강남부동산공인중개사사무소,부산광역시 강서구 공항로 1373 (대저1동),35.21993161,128.9907883,2023-01-30
117, 강서구,공인중개사,김나영,대방노블랜드부동산공인중개사사무소,부산광역시 강서구 명지국제6로 99 대방디엠시티센텀오션1  A동101호(명지동),35.09287295,128.9100741,2023-01-30
118, 강서구,공인중개사,김성수,금당공인중개사사무소,부산광역시 강서구 공항로811번가길 2 2층(대저2동),35.17972472,128.9566711,2023-01-30
119, 강서구,공인중개사,김은숙,부동산전망대GO공인중개사사무소,부산광역시 강서구 제도로 576 (강동동),35.16437744,128.9130556,2023-01-30
120, 강서구,공인중개사,김준곤,삼정공인중개사사무소,부산광역시 강서구 대저로 228 (대저1동),35.21435946,128.977694,2023-01-30
121, 강서구,공인중개사,김두연,한솔공인중개사사무소,부산광역시 강서구 유통단지1로 50 부산티플렉스 다동101호(대저2동),35.17032477,128.9541787,2023-01-30
122, 강서구,공인중개사,김미숙,더광장랜드공인중개사사무소,부산광역시 강서구 가락대로1449번길 7 102호(죽림동),35.19359471,128.9030829,2023-01-30
123, 강서구,공인중개사,박제준,에코델타시티공인중개사사무소,"부산광역시 강서구 명지국제7로 130 상가2동102호((명지동,더에듀팰리스부영)",35.09587706,128.915734,2023-01-30
124, 강서구,공인중개사,박서영,대왕부동산공인중개사사무소,부산광역시 강서구 과학산단로334번길 7 104호(지사동),35.14949855,128.8326405,2023-01-30
125, 강서구,공인중개사,김신태,NK공인중개사사무소,"부산광역시 강서구 명지국제7로 120 상가1동104호(명지동,더에듀팰리스부영)",35.0959644,128.9149124,2023-01-30
126, 강서구,공인중개사,이병훈,맛있는공인중개사사무소,부산광역시 강서구 공항로 1175 2층(대저1동),35.2065506,128.9780395,2023-01-30
127, 강서구,공인중개사,김철,럭키(LUCKY)부동산공인중개사사무소,부산광역시 강서구 제도로 793 1층(강동동),35.18334169,128.9191749,2023-01-30
128, 강서구,공인중개사,김광우,금샘공인중개사사무소,"부산광역시 강서구 명지오션시티10로 114 상가115동B101호(명지동,명지오션시티삼정그린코아)",35.08634165,128.9083455,2023-01-30
129, 강서구,공인중개사,류호준,에코델타시티공인중개사사무소,부산광역시 강서구 제도로 772 (강동동),35.18122667,128.9187449,2023-01-30
130, 강서구,공인중개사,전미애,토박이공인중개사사무소,부산광역시 강서구 식만로 69 (죽림동),35.20180981,128.9026359,2023-01-30
131, 강서구,공인중개사,김윤주,윤행운공인중개사사무소,부산광역시 강서구 명지오션시티3로 33 102호(명지동),35.08127065,128.9029927,2023-01-30
132, 강서구,법인,고석,평지부동산중개법인(주),부산광역시 강서구 명지국제6로 12 401호(명지동),35.09169111,128.9005634,2023-01-30
133, 강서구,공인중개사,강태순,낙동공인중개사사무소,부산광역시 강서구 생곡산단1로5번길 7 (생곡동),35.13631486,128.8853967,2023-01-30
134, 강서구,공인중개사,송임조,초량역공인중개사사무소,부산광역시 강서구 범방3로 83 (범방동),35.15045733,128.8817856,2023-01-30
135, 강서구,공인중개사,전다혜,가덕사랑공인중개사사무소,부산광역시 강서구 동선길 19 (성북동),35.05634102,128.83201,2023-01-30
136, 강서구,공인중개사,박건우,SC컨설팅부동산중개사무소,부산광역시 강서구 범방3로77번길 2 (범방동),35.15009855,128.8815403,2023-01-30
137, 강서구,공인중개사,박종필,필부동산중개사무소,부산광역시 강서구 대저로 183 (대저1동),35.21492995,128.972901,2023-01-30
138, 강서구,공인중개사,이운정,이가부동산공인중개사사무소,부산광역시 강서구 신호산단2로 33 골든뷰 109호(신호동),35.08594523,128.8777668,2023-01-30
139, 강서구,공인중개사,신용호,신용공인중개사사무소,부산광역시 강서구 대저로 52 1층(대저1동),35.21490093,128.9584792,2023-01-30
140, 강서구,공인중개사,이순태,천사공인중개사사무소,부산광역시 강서구 명지국제1로 56-1 플러스타워106호(명지동),35.09368338,128.9053781,2023-01-30
141, 강서구,공인중개사,박경옥,엘크루공인중개사사무소,"부산광역시 강서구 명지오션시티12로 92 근린생활시설C3동 B104호(명지동,엘크루블루오션)",35.0817247,128.9049606,2023-01-30
142, 강서구,공인중개사,전인호,K-부동산공인중개사사무소,"부산광역시 강서구 명지국제7로 111 상가동 103호(명지동, 명지더웨스턴)",35.09666465,128.9129021,2023-01-30
143, 강서구,공인중개사,이수진,마스터부동산공인중개사사무소,"부산광역시 강서구 명지국제7로 133 근린생활시설 1동 108호(명지동, 중흥s-클래스프라디움)",35.09661018,128.9165319,2023-01-30
144, 강서구,공인중개사,이상원,명지현대공인중개사사무소,"부산광역시 강서구 명지국제5로 141 304동405호(명지동,명지협성휴포레)",35.10752754,128.9211187,2023-01-30
145, 강서구,공인중개사,박나운,에코대성공인중개사사무소,부산광역시 강서구 명지국제11로 58 103호(명지동),35.1039572,128.924764,2023-01-30
146, 강서구,공인중개사,정재훈,온나라공인중개사사무소,"부산광역시 강서구 명지국제2로 29 125호(명지동,성광타워)",35.09415059,128.9067871,2023-01-30
147, 강서구,공인중개사,김원식,다온공인중개사사무소,부산광역시 강서구 가락대로 230-14 (송정동),35.1039877,128.8402168,2023-01-30
148, 강서구,공인중개사,백연주,삼거리공인중개사사무소,부산광역시 강서구 식만로 2 (죽림동),35.19623002,128.901443,2023-01-30
149, 강서구,공인중개사,서정민,은하수부동산공인중개사사무소,부산광역시 강서구 명지국제6로 222 203호(명지동),35.09520993,128.9228664,2023-01-30
150, 강서구,공인중개사,손채영,퀸즈부동산중개사무소,"부산광역시 강서구 명지국제2로28번길 34 108호(명지동, 에코팰리스)",35.09284604,128.9088564,2023-01-30
151, 강서구,공인중개사,김미경,명지그린공인중개사사무소,"부산광역시 강서구 명지국제5로 60 상가동 110호 (명지동, 에일린의 뜰)",35.10039013,128.9208848,2023-01-30
152, 강서구,공인중개사,손희주,삼성공인중개사사무소,부산광역시 강서구 제도로 715 (강동동),35.17665732,128.9162671,2023-01-30
153, 강서구,공인중개사,배지수,신도시공인중개사사무소,부산광역시 강서구 대저동서로 246 (대저2동),35.19435176,128.9626846,2023-01-30
154, 강서구,공인중개사,성소민,다복공인중개사사무소,부산광역시 강서구 제도로 1200 (강동동),35.21663619,128.9372018,2023-01-30
155, 강서구,공인중개사,박정민,신강남공인중개사사무소,부산광역시 강서구 제도로 858 (강동동),35.18885035,128.9214002,2023-01-30
156, 강서구,공인중개사,박성언,써브공인중개사사무소,부산광역시 강서구 대저로 183 1층 동쪽(대저1동),35.21492995,128.972901,2023-01-30
157, 강서구,공인중개사,우영미,명지금빛부동산공인중개사사무소,"부산광역시 강서구 명지국제2로28번길 26 107호(명지동,퍼스트삼융)",35.09331194,128.9092345,2023-01-30
158, 강서구,공인중개사,김세인,로얄공인중개사사무소,부산광역시 강서구 대저로 254 1층(대저1동),35.21363527,128.9802994,2023-01-30
159, 강서구,공인중개사,김태우,NEW부경공인중개사사무소,부산광역시 강서구 대저로155번길 15 2동 1층(대저1동),35.21562303,128.9696581,2023-01-30
160, 강서구,공인중개사,김근환,서연부동산공인중개사사무소,부산광역시 강서구 명지국제6로 107 B동 117호(명지동),35.09293896,128.9108864,2023-01-30
161, 강서구,공인중개사,김정훈,천지부동산공인중개사사무소,부산광역시 강서구 명지국제8로10번길 46 제1동 1층 109호(명지동),35.09445385,128.9023925,2023-01-30
162, 강서구,공인중개사,이덕기,강남공인중개사사무소,부산광역시 강서구 화전산단5로 150 (녹산동),35.11190924,128.8785722,2023-01-30
163, 강서구,공인중개사,정홍가,국제마스터부동산중개,"부산광역시 강서구 명지국제5로 141 305동501호(명지동,명지협성휴포레)",35.10752754,128.9211187,2023-01-30
164, 강서구,공인중개사,윤성진,골드라인 공인중개사사무소,"부산광역시 강서구 명지국제5로 141 306동611호(명지동,명지협성휴포레)",35.10752754,128.9211187,2023-01-30
165, 강서구,공인중개사,장정노,대성공인중개사사무소,부산광역시 강서구 동선길 57-12 (동선동),35.05452347,128.8328356,2023-01-30
166, 강서구,공인중개사,황시내,국제정인공인중개사사무소,부산광역시 강서구 명지국제8로 246 111호(명지동),35.0977406,128.9196155,2023-01-30
167, 강서구,공인중개사,송민량,부동산전망대에서공인중개사사무소,부산광역시 강서구 제도로 576 (강동동),35.16437744,128.9130556,2023-01-30
168, 강서구,공인중개사,박영득,부동산전망대공인중개사사무소,부산광역시 강서구 제도로 1166 (강동동),35.21374629,128.935576,2023-01-30
169, 강서구,공인중개사,김병근,대박공인중개사사무소,부산광역시 강서구 대저로 167 (대저1동),35.21502572,128.9710789,2023-01-30
170, 강서구,공인중개사,홍미애,더오름공인중개사사무소,"부산광역시 강서구 명지국제2로 80 비거주시설동 1층 45호(명지동, e편한세상명지)",35.09876263,128.9084177,2023-01-30
171, 강서구,공인중개사,정주영,대박공인중개사사무소,"부산광역시 강서구 명지국제5로 89 217동 지하1층 111호 (명지동, 명지 국제신도시 호반베르디움2)",35.10236823,128.9203586,2023-01-30
172, 강서구,공인중개사,조창훈,신명지부동산중개,"부산광역시 강서구 명지국제2로 80 비거주시설동 3층 81호 (명지동, e편한세상 명지)",35.09876263,128.9084177,2023-01-30
173, 강서구,공인중개사,이지현,포스코더샵태양공인중개사사무소,"부산광역시 강서구 명지국제7로 37 판매시설 141호 (명지동, 더샵 명지퍼스트월드 2단지)",35.09754964,128.9054867,2023-01-30
174, 강서구,공인중개사,김영미,신호부영공인중개사사무소,부산광역시 강서구 신호산단1로 76 경희빌딩 110호(신호동),35.0822588,128.8727268,2023-01-30
175, 강서구,공인중개사,김다정,오복부동산중개,부산광역시 강서구 대저로 154 (대저1동),35.21477686,128.9695162,2023-01-30
176, 강서구,공인중개사,유승희,럭키공인중개사사무소,부산광역시 강서구 제도로 793 (강동동),35.18334169,128.9191749,2023-01-30
177, 강서구,법인,한충희,나이스부동산중개법인(주),부산광역시 강서구 유통단지1로49번길 6 105호 (대저2동),35.16713437,128.95525,2023-01-30
178, 강서구,공인중개사,강신익,당근부동산공인중개사사무소,"부산광역시 강서구 명지국제5로 141 305동 504호(명지동, 명지 협성휴포레)",35.10752754,128.9211187,2023-01-30
